11804 (11856, 129.53900003433228)
11803 (11872, 140.27600002288818)
11802 (11856, 142.15000009536743)
11801 (11856, 136.10899996757507)
11800 (11856, 133.65999984741211)
11799 (11856, 129.3510000705719)
11798 (11856, 130.02300000190735)
11797 (11880, 129.7739999294281)
11796 (11856, 128.96600008010864)
11795 (11830, 129.11899995803833)
11794 (11840, 128.94799995422363)
11793 (11840, 129.01900005340576)
11792 (11840, 128.29999995231628)
11791 (11830, 159.84700012207031)
11790 (11840, 147.08800005912781)
11789 (11830, 129.02600002288818)
11788 (11840, 128.08899998664856)
11787 (12000, 128.31299996376038 )
11786 (11840, 128.54299998283386)
11785 (11840, 128.82200002670288)
11784 (11844, 128.21099996566772)
11783 (11830, 128.35199999809265)
11782 (11832, 128.27900004386902)
11781 (11832, 127.96200013160706 )
11780 (11832, 128.14199995994568)
11779 (11832, 127.90799999237061)
11778 (11844, 128.49000000953674)
11777 (11840, 128.23699998855591)
11776 (11832, 164.63899993896484)
11775 (11880, 127.73099994659424 )
11774 (11844, 127.84000015258789)
11773 (11844, 127.9779999256134)
11772 (11844, 127.99499988555908)
11771 (11830, 128.35300016403198)
11770 (11840, 127.91599988937378)
11769 (11875, 127.88499999046326 )
11768 (11840, 128.22699999809265)
11767 (11832, 127.69700002670288)
11766 (11832, 127.3840000629425)
11765 (11825, 127.93099999427795)
11764 (11840, 127.3840000629425)
11763 (11844, 131.27499985694885)
11762 (11840, 155.88199996948242)
11761 (11840, 138.0239999294281)
11760 (11832, 127.3840000629425)
11759 (11808, 128.08700013160706)
11758 (11808, 128.05599999427795)
11757 (11808, 127.77499985694885)
11756 (11808, 127.57200002670288)
11755 (11808, 127.49300003051758)
11754 (11808, 127.2279999256134)
11753 (11799, 127.16499996185303)
11752 (11808, 126.72800016403198)
11751 (11808, 126.93099999427795)
11750 (11808, 127.46199989318848)
11749 (11799, 148.11800003051758)
11748 (11808, 142.44599986076355)
11747 (11808, 130.3840000629425)
11746 (11808, 126.57200002670288)
11745 (11781, 126.49300003051758)
11744 (11808, 126.58699989318848)
11743 (11776, 126.8529999256134)
11742 (11776, 126.15000009536743)
11741 (11776, 127.53999996185303)
11740 (11776, 126.65000009536743)
11739 (11776, 126.7590000629425)
11738 (11760, 127.04099988937378)
11737 (11760, 127.2590000629425)
11736 (11760, 127.19599986076355)
11735 (11760, 150.02400016784668)
11734 (11760, 139.21199989318848)
11733 (11760, 128.24300003051758)
11732 (11760, 127.4779999256134)
11731 (11760, 127.43099999427795)
11730 (11760, 127.47800016403198)
11729 (11760, 127.44599986076355)
11728 (11760, 127.36899995803833)
11727 (11760, 127.80599999427795)
11726 (11760, 127.69600009918213)
11725 (11760, 127.83699989318848)
11724 (11760, 127.69700002670288)
11723 (11760, 127.8989999294281)
11722 (11760, 128.30599999427795)
11721 (11760, 152.66400003433228)
11720 (11760, 140.2590000629425)
11719 (11760, 128.05599999427795)
11718 (11760, 128.00899982452393)
11717 (11760, 128.94700002670288)
11716 (11760, 128.0090000629425)
11715 (11760, 127.57200002670288)
11714 (11760, 127.68099999427795 )
11713 (11760, 127.85199999809265)
11712 (11760, 126.79099988937378)
11711 (11760, 127.07100009918213)
11710 (11760, 128.04099988937378)
11709 (11760, 130.79000020027161)
11708 (11760, 126.867999792099)
11707 (11760, 161.05400013923645)
11706 (11760, 126.94700002670288)
11705 (11745, 126.71199989318848)
11704 (11760, 125.86899995803833)
11703 (11760, 126.08700013160706)
11702 (11760, 126.02499985694885 )
11701 (11745, 126.65000009536743)
11700 (11760, 125.46199989318848)
11699 (11760, 125.60300016403198)
11698 (11760, 125.88399982452393)
11697 (11745, 126.07200002670288)
11696 (11760, 125.77500009536743 )
11695 (11760, 125.68099999427795)
11694 (11760, 126.5090000629425)
11693 (11745, 158.36699986457825)
11692 (11760, 125.41499996185303)
11691 (11750, 125.55599999427795)
11690 (11760, 125.46300005912781 )
11689 (11760, 125.53999996185303)
11688 (11760, 125.78999996185303)
11687 (11750, 125.71300005912781)
11686 (11760, 125.61800003051758)
11685 (11730, 125.57200002670288)
11684 (11760, 125.52500009536743 )
11683 (11730, 125.8529999256134)
11682 (11760, 125.53999996185303)
11681 (11730, 126.1029999256134)
11680 (11760, 126.24400019645691)
11679 (11760, 142.63299989700317)
11678 (11760, 125.82200002670288)
11677 (11730, 125.93099999427795)
11676 (11760, 125.55599999427795)
11675 (11718, 125.60300016403198)
11674 (11700, 125.46300005912781)
11673 (11700, 125.742999792099)
11672 (11700, 125.27500009536743)
11671 (11718, 125.78999996185303)
11670 (11700, 131.1029999256134)
11669 (11700, 125.60300016403198)
11668 (11700, 125.7590000629425)
11667 (11700, 125.8840000629425)
11666 (11700, 126.16499996185303)
11665 (11700, 141.97800016403198)
11664 (11700, 125.69599986076355)
11663 (11704, 126.2279999256134)
11662 (11700, 131.94700002670288)
11661 (11700, 126.18099999427795)
11660 (11700, 126.22800016403198)
11659 (11700, 126.36800003051758)
11658 (11700, 126.27499985694885)
11657 (11700, 126.9779999256134)
11656 (11700, 126.89900016784668)
11655 (11718, 127.02499985694885)
11654 (11700, 126.93099999427795)
11653 (11700, 127.07200002670288)
11652 (11700, 127.05599999427795)
11651 (11700, 142.57100009918213)
11650 (11700, 127.03999996185303)
11649 (11700, 126.71300005912781)
11648 (11700, 126.44600009918213)
11647 (11760, 126.82200002670288)
11646 (11664, 127.03999996185303)
11645 (11664, 127.2279999256134)
11644 (11664, 126.57200002670288)
11643 (11664, 127.5239999294281)
11642 (11664, 127.49400019645691)
11641 (11664, 126.78999996185303 )
11640 (11664, 132.53399991989136)
11639 (11664, 126.91400003433228)
11638 (11664, 127.16799998283386)
11637 (11664, 138.49200010299683)
11636 (11664, 140.7409999370575)
11635 (11664, 126.62199997901917 )
11634 (11664, 127.01399993896484)
11633 (11664, 126.72300004959106)
11632 (11664, 126.00200009346008)
11631 (11664, 126.60699987411499)
11630 (11664, 126.02500009536743)
11629 (11664, 126.11699986457825 )
11628 (11664, 125.33299994468689)
11627 (11662, 125.62900018692017)
11626 (11664, 125.97299981117249)
11625 (11664, 125.94100022315979)
11624 (11664, 125.83199977874756)
11623 (11664, 138.53900003433228 )
11622 (11648, 129.14499998092651)
11621 (11648, 125.61300015449524)
11620 (11648, 125.1269998550415)
11619 (11648, 125.37800002098083)
11618 (11648, 125.01900005340576)
11617 (11648, 125.44000005722046 )
11616 (11648, 124.97099995613098)
11615 (11648, 125.17499995231628)
11614 (11648, 124.79999995231628)
11613 (11648, 125.20600008964539)
11612 (11648, 125.20499992370605)
11611 (11648, 124.95600008964539 )
11610 (11648, 125.42499995231628)
11609 (11648, 128.28500008583069)
11608 (11648, 138.50799989700317)
11607 (11648, 124.02900004386902)
11606 (11648, 124.03299999237061)
11605 (11648, 124.49000000953674 )
11604 (11648, 124.03799986839294)
11603 (11648, 125.42200016975403)
11602 (11648, 123.82499980926514)
11601 (11648, 124.26300001144409)
11600 (11648, 123.9850001335144)
11599 (11648, 124.07999992370605 )
11598 (11664, 123.45099997520447)
11597 (11648, 123.71700000762939)
11596 (11648, 123.21900010108948)
11595 (11664, 123.19000005722046)
11594 (11648, 139.00500011444092)
11593 (11648, 123.44199991226196 )
11592 (11648, 122.97300004959106)
11591 (11648, 123.16000008583069)
11590 (11648, 123.22300004959106)
11589 (11616, 123.20699977874756)
11588 (11616, 123.44300007820129)
11587 (11616, 123.14499998092651 )
11586 (11616, 123.33299994468689)
11585 (11616, 129.11600017547607)
11584 (11616, 123.03600001335144)
11583 (11616, 123.22299981117249)
11582 (11616, 123.17700004577637)
11581 (11616, 123.55200004577637 )
11580 (11648, 135.5220000743866)
11579 (11616, 127.06800007820129)
11578 (11616, 123.06699991226196)
11577 (11616, 122.73900008201599)
11576 (11616, 123.05200004577637)
11575 (11616, 122.78600001335144 )
11574 (11664, 122.53600001335144)
11573 (11616, 123.89599990844727)
11572 (11616, 122.44200015068054)
11571 (11616, 122.59799981117249)
11570 (11616, 122.39600014686584)
11569 (11616, 122.45799994468689 )
11568 (11616, 122.28600001335144)
11567 (11616, 123.01999998092651)
11566 (11616, 128.89599990844727)
11565 (11616, 155.62000012397766)
11564 (11616, 122.30200004577637)
11563 (11616, 122.23899984359741 )
11562 (11616, 122.22300004959106)
11561 (11616, 123.00500011444092)
11560 (11600, 122.00499987602234)
11559 (11600, 122.41100001335144)
11558 (11600, 122.56700015068054)
11557 (11592, 122.72399997711182 )
11556 (11592, 122.15999984741211)
11555 (11592, 122.09899997711182)
11554 (11592, 121.95700001716614)
11553 (11583, 122.17700004577637)
11552 (11592, 122.25499987602234)
11551 (11592, 129.5990002155304 )
11550 (11592, 135.41299986839294)
11549 (11583, 139.33599996566772)
11548 (11592, 125.94300007820129)
11547 (11592, 121.84899997711182)
11546 (11592, 121.98899984359741)
11545 (11583, 122.20700001716614 )
11544 (11592, 140.27400016784668)
11543 (11592, 137.47500014305115)
11542 (11592, 121.49799990653992)
11541 (11592, 122.10500001907349)
